no;lm_indo;cek;cek2;lm_eng;negative;positive;uncertainty;litigious;strong_modal;weak_modal;constraining;complexity;anger;anticipation;disgust;fear;joy;negative_alt;positive_alt;sadness;surprise;trust
1;menolak ;balk;reject;reject;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;pelanggaran ;breach;violation;violation;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;meremehkan ;dismal;belittle;dismal;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;kerusakan ;damage;damage;damage;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;membatalkan ;annul;cancel;cancel;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;salah ;erred;Wrong;wrong;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;ganti rugi ;indemnification;compensation;indemnification;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;menyita ;confiscate;confiscate;confiscate;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;melebih-lebihkan ;exaggerate;exaggerate;exaggerate;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;pemalsuan ;adulterate;forgery;forgery;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;mengganggu ;annoy;bother;annoy;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;kekurangan ;deficiencies;lack;lack;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;memaksa ;coerce;force;force;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;menunda ;adjourn;postpone;postpone;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;kewajiban ;obligated;obligation;obligation;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
16;kalah ;defease;lost;lost;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;larangan ;bans;prohibition;prohibition;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
18;tidak setuju ;disaffirm;don't agree;disaffirm;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;kesalahan penerapan ;misapplication;implementation error;misapplication;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;merugikan ;deleterious;harm;harm;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;melanggar ;contravene;violate;violate;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;gangguan ;disruptions;disturbance;disturbance;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;pencemaran nama baik ;defacement;defamation;defamation;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;penyangkalan ;disavowing;denial;denial;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;penolakan ;disavow;rejection;rejection;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;penahanan ;detention;detention;detention;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;menipu ;deceive;cheat;deceive;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;ketergantungan ;dependability;dependency;dependency;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;berhenti ;cease;stop;cease;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;beban ;burden;burden;burden;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;penghalang ;barrier;barrier;barrier;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;selanjutnya ;henceforth;furthermore;henceforth;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;merusak ;damaging;damage;damage;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;mengadili ;adjudge;judge;adjudge;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;menahan ;detain;withhold;detain;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;mengabaikan ;disregard;ignore;ignore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;kesalahan ;culpability;error;error;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;kelebihan produksi ;overproduced;over production;overproduced;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;permohonan ;petitioning;application;petitioning;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;pertentangan ;contend;contradiction;contradiction;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;pengurangan ;cutback;subtraction;cutback;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;penghentian ;deprecation;termination;termination;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;kehilangan ;forfeit;lost;lost;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;kontradiksi ;contradict;contradiction;contradiction;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;lalai ;neglect;negligent;negligent;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;kemajuan ;advancement;progress;progress;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;bahaya ;danger;danger;danger;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;bencana ;calamities;disaster;disaster;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;cacat ;defect;disabled;defect;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;pencapaian ;accomplish;achievement;achievement;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;penghancuran ;demolish;destruction;destruction;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;penghindaran ;circumvents;avoidance;circumvents;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;peningkatan ;enhance;enhancement;enhancement;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;penyalahgunaan ;abuse;abuse;abuse;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;membebaskan ;acquit;freeing;acquit;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;menyimpang ;aberration;deviated;deviated;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;mencapai ;achieve;reach;achieve;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;pembatasan ;constrain;restrictions;restrictions;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
59;membatasi ;restrict;limit;limit;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
60;menghancurkan ;destroy;destroy;destroy;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;mengumumkan ;promulgate;announce;promulgate;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;mencegah ;forestall;prevent;prevent;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
63;implikasi ;implicate;implications;implicate;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;bermanfaat ;beneficial;beneficial;beneficial;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;berhasil ;succeed;succeed;succeed;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;dibatalkan ;abrogate;canceled;canceled;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;tidak jelas ;unclear;unclear;unclear;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;tidak tepat ;imprecise;not exactly;imprecise;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;tuduhan ;accusation;accusation;accusation;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;menghitung ulang ;recalculate;recalculate;recalculate;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;menyatakan kembali ;restate;restate;restate;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;penggusuran ;displace;eviction;eviction;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;pencabutan ;revocability;retraction;revocability;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;pengacara ;attorn;lawyer;lawyer;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;penutupan ;closing;closing;closing;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;mungkin ;may;Possible;possible;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
77;melampaui ;exceedance;surpass;surpass;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;notaris ;notarial;Notary Public;notarial;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;melakukan ;commit;do;commit;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
80;melepaskan ;releasees;release;releasees;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;kematian ;demise;death;demise;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;korupsi ;corrupt;corruption;corruption;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;konspirasi ;conspiracies;conspiracy;conspiracy;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;ditinggalkan ;abandon;abandoned;abandoned;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;bertahan ;persist;endure;persist;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;divestasi ;divest;divestment;divestment;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;fitnah ;libel;slander;slander;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;banding ;appeal;appeal;appeal;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;deposisi ;depose;deposition;deposition;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;tidak adil ;inequitable;unfair;unfair;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
